Data Table for Weekly Case Trends - The United States
Date generated: Sun Oct 30 2022 14:31:25 GMT-0400 (Eastern Daylight Time)
Geography,Date,Weekly Cases,Historic Cases
United States,Oct 26 2022,265893,0
United States,Oct 19 2022,261315,0
United States,Oct 12 2022,264138,0
United States,Oct  5 2022,319723,0
United States,Sep 28 2022,342128,0
United States,Sep 21 2022,395043,0
United States,Sep 14 2022,471565,0
United States,Sep  7 2022,525620,0
United States,Aug 31 2022,616605,0
United States,Aug 24 2022,651637,0
United States,Aug 17 2022,694145,0
United States,Aug 10 2022,772397,0
United States,Aug  3 2022,839416,0
United States,Jul 27 2022,924152,0
United States,Jul 20 2022,905252,0
United States,Jul 13 2022,865509,0
United States,Jul  6 2022,779645,0
United States,Jun 29 2022,771698,0
United States,Jun 22 2022,693679,0
United States,Jun 15 2022,725490,0
United States,Jun  8 2022,771563,0
United States,Jun  1 2022,715584,0
United States,May 25 2022,771846,0
United States,May 18 2022,696235,0
United States,May 11 2022,588267,0
United States,May  4 2022,450071,0
United States,Apr 27 2022,367292,0
United States,Apr 20 2022,291704,0
United States,Apr 13 2022,226498,0
United States,Apr  6 2022,194554,0
United States,Mar 30 2022,192971,0
United States,Mar 23 2022,192253,0
United States,Mar 16 2022,215887,0
United States,Mar  9 2022,252910,0
United States,Mar  2 2022,367860,0
United States,Feb 23 2022,547498,0
United States,Feb 16 2022,926022,0
United States,Feb  9 2022,1486180,0
United States,Feb  2 2022,2702395,0
United States,Jan 26 2022,4400106,0
United States,Jan 19 2022,5582954,0
United States,Jan 12 2022,5487217,0
United States,Jan  5 2022,4140426,0
United States,Dec 29 2021,2159126,0
United States,Dec 22 2021,1167272,0
United States,Dec 15 2021,839335,0
United States,Dec  8 2021,843606,0
United States,Dec  1 2021,615808,0
United States,Nov 24 2021,668823,0
United States,Nov 17 2021,614895,0
United States,Nov 10 2021,539649,0
United States,Nov  3 2021,504059,0
United States,Oct 27 2021,505016,0
United States,Oct 20 2021,533688,0
United States,Oct 13 2021,618575,0
United States,Oct  6 2021,706354,0
United States,Sep 29 2021,801897,0
United States,Sep 22 2021,921273,0
United States,Sep 15 2021,1086994,0
United States,Sep  8 2021,1046433,0
United States,Sep  1 2021,1181551,0
United States,Aug 25 2021,1013898,0
United States,Aug 18 2021,1006065,0
United States,Aug 11 2021,906295,0
United States,Aug  4 2021,673083,0
United States,Jul 28 2021,455692,0
United States,Jul 21 2021,289578,0
United States,Jul 14 2021,179249,0
United States,Jul  7 2021,109982,0
United States,Jun 30 2021,94303,0
United States,Jun 23 2021,82218,0
United States,Jun 16 2021,86829,0
United States,Jun  9 2021,100041,0
United States,Jun  2 2021,111285,0
United States,May 26 2021,161037,0
United States,May 19 2021,208356,0
United States,May 12 2021,253392,0
United States,May  5 2021,325158,0
United States,Apr 28 2021,369276,0
United States,Apr 21 2021,446026,0
United States,Apr 14 2021,498876,0
United States,Apr  7 2021,458906,0
United States,Mar 31 2021,449118,0
United States,Mar 24 2021,403371,0
United States,Mar 17 2021,382078,0
United States,Mar 10 2021,392734,0
United States,Mar  3 2021,443526,0
United States,Feb 24 2021,476552,0
United States,Feb 17 2021,539354,0
United States,Feb 10 2021,727608,0
United States,Feb  3 2021,954431,0
United States,Jan 27 2021,1140442,0
United States,Jan 20 2021,1377594,0
United States,Jan 13 2021,1708194,0
United States,Jan  6 2021,1605018,0
United States,Dec 30 2020,1303135,0
United States,Dec 23 2020,1499110,0
United States,Dec 16 2020,1523741,0
United States,Dec  9 2020,1480014,0
United States,Dec  2 2020,1174972,0
United States,Nov 25 2020,1252819,0
United States,Nov 18 2020,1144813,0
United States,Nov 11 2020,921799,0
United States,Nov  4 2020,705770,0
United States,Oct 28 2020,528690,0
United States,Oct 21 2020,434929,0
United States,Oct 14 2020,371844,0
United States,Oct  7 2020,318749,0
United States,Sep 30 2020,296311,0
United States,Sep 23 2020,306341,0
United States,Sep 16 2020,271632,0
United States,Sep  9 2020,255533,0
United States,Sep  2 2020,289520,0
United States,Aug 26 2020,296172,0
United States,Aug 19 2020,330576,0
United States,Aug 12 2020,377271,0
United States,Aug  5 2020,398240,0
United States,Jul 29 2020,450830,0
United States,Jul 22 2020,467310,0
United States,Jul 15 2020,441418,0
United States,Jul  8 2020,369673,0
United States,Jul  1 2020,311757,0
United States,Jun 24 2020,219382,0
United States,Jun 17 2020,158918,0
United States,Jun 10 2020,143182,0
United States,Jun  3 2020,144718,0
United States,May 27 2020,144858,0
United States,May 20 2020,158446,0
United States,May 13 2020,158871,0
United States,May  6 2020,187465,0
United States,Apr 29 2020,194863,0
United States,Apr 22 2020,202007,0
United States,Apr 15 2020,207226,0
United States,Apr  8 2020,219464,0
United States,Apr  1 2020,159554,0
United States,Mar 25 2020,60684,0
United States,Mar 18 2020,8481,0
United States,Mar 11 2020,1234,0
United States,Mar  4 2020,120,0
United States,Feb 26 2020,31,0
United States,Feb 19 2020,16,0
United States,Feb 12 2020,10,0
United States,Feb  5 2020,10,0
United States,Jan 29 2020,7,0
